Compositor,Obra,Año,Duración,Género y efectivo,Estreno,Edición discográfica,Notas,Grabación 1
,Quodlibet IV (Versiòn 2),1976,12',Mixta. Piano y electrónica sobre soporte.,1976. Barcelona. Palacio de la música/ festival HispanoMexicano de México.,,Dedicado a Carles Santos.,
,Un jardín para todos,1977,60',Música para escena. Electrónica sobre soporte.,1977 Barcelona. Fundacion Miró Teatre Tres Terres.,,,
,Variaciones I,1977,11',Electrónica sobre soporte.,1982. Barcelona.,,,
,Destierro,1979,24',Electrónica sobre soporte.,1981. Radiodifusión Suiza.,Disco Hemisferio H-1033. Barcelona 1981.,,
,Cielo,1979,20',Mixta. 4 violas y electrónica sobre soporte.,1981. Barcelona.,Disco Hemisferio H-1033. Barcelona 1981.,,GB79_07 CD10
,Memorias,1980,25',"Mixta. Percusiòn, Violin y electrónica sobre soporte.",,,No estrenada,
,Música de las Aparencias,1980,28',Mixta. Violin y electrónica sobre soporte.,,,Dedicada a Francisco Kröpfl.,
,Coral retrato,1980,13',"Mixta. Tenor, Viola, Clarinete y electrónica sobre soporte.","Barcelona, 1985.",,"Versión con Voz, viola y cinta.",
,Aria y Pasacalle,1980,14',"Mixta. Flauta, Clarinete, Contrabajo, Guitarra y electrónica sobre soporte.","1986. Barcelona, Fundacion Maeght.",,,
,Nuestra América,1981,26',Mixta. Percusiòn y electrónica sobre soporte (4 pistas).,1982. Barcelona. Discoteca Estudio 54.,,,
,Grisalla,1981,90',Electrónica sobre soporte.,1982. Barcelona.,,,
,Grisalla (Versiòn 2),1982,27',Música para escena. Electrónica sobre soporte.,"1983. Group Tres Terres. Barcelona, España.",,,
,Bach y las monedas,1982,8',Música para escena. Electrónica sobre soporte.,"1986. Festival Anacrusa. Santiago, Chile.",,,
,Nuestra América (Versiòn 2),1982,26',Electrónica sobre soporte.,,,,
,Las Afinidades electivas,1982,,2 PolyMoog.,No estrenada,,,
,Canciones con sintetizador,1982,18',Electrónica sobre soporte.,"1987. Toulouse, Francia.",,,
,Triunfo por las madres de plaza de mayo,1983,,"Mixta. Guitarra, Voz y electrónica sobre soporte.","1982. Palau de la Musica. Barcelona, España.",,Voz: Anna Ricci,
,Polifonía de Barcelona,1983,17',Mixta. Grupo de Cámara procesado en tiempo real.,"1983. ICMC. Ensemble 2e2m Paris, Francia.",Catalana de Ediciones Musicales. Barcelona.,"Transformaciones en tiempo real : Jose Manuel Berenguer, Juan Jose Ordinas y Claudio Zulián.",GB83_08 CD10
,Polifonía de Venecia,1983,16',Electrónica sobre soporte.,"1983. Barcelona, España.",,,GB83_09 CD10
,Variaciones sobre Sonatas e Interludios,1984,27',"Mixta. Viola, Guitarra Eléctrica y electrónica sobre soporte.","1984. Barcelona, España.",,Existen Versiones con diferentes efectivos instrumentales.,GB84_10 CD10
,Chile Fértil Provincia (Versiòn 2),1985,23'25',"Mixta. Viola, Contrabajo, Percusión, voz y electrónica sobre soporte.",,"""Cultures Electroniques"" N°16. LDC 278 077. CD.",Obra ganadora del concurso de Bourges 1986.,GB85_11 CD11
,Concierto Gótico,1985,21',Electrónica sobre soporte.,,,,
,Concierto Gótico,1985,18'20,Mixta. Viola y/o violoncello y electrónica sobre soporte.,1986. Festival Synthése de Bourges. Francia.,Asociación Catalana de Compositores Vol V.,Encargo del IMEB.,GB85_12 CD11
,Quodlibet IV (Version 3),1985,16',Mixta. 3 voces (A T B) y electrónica sobre soporte.,"1985, Barcelona. España.",,,
,Opera Rotas,1985,40',"Mixta. 16 voces, orquesta de camara y electroacústica.","1993. Universidad de Barcelona, España. (Introducción).",,Opera de Cámara.,
,Des' être,1986,13',Mixta. Sintetizador controlado por ordenador y dos violas.,"1986. Festival EMS. Estocolmo, Suecia.",,,GB86_13 CD11
,Tres Estilos.,1986,,Mixta. Guitarra y tratamientos electrónicos.,"1993. Cuenca, España.",,,
,Clarinen-Tres,1986,10',Mixta. Clarinete y electrónica sobre soporte.,París. Festival de Musique Espagnole. Francia.,Asociación Catalana de Compositores. Vol. V. CD.,,GB86_14 CD11
,Ese Mar,1987,12',Mixta. Trompa/tuba y electrónica sobre soporte.,"1987. Festival de Música Contemporánea. Málaga, España.",,Existe una versión para tuba,GB87_15 CD11
,Ciudad Encantada,1987,19',Electrónica sobre soporte.,"1987. Cuenca, España.",,Encargo del Laboratorio de Cuenca,GB87_16 CD12
,Passacaglia,1988,,2 Sintetizadores.,"1988. Duo Eclat. Barcelona, España.",,,
,Sexteto para Violas,1988,10',Mixta. Viola y electrónica sobre soporte.,,,,
