Compositor,Obra,Año,Duración,Género y efectivo,Estreno,Edición discográfica,Notas,Grabación 1
,Splitting the ergo,2002-03,10',"Mixta. Ensamble (Bugle, tb, sax. bar, perc, 2 al, vc, cb) y electrónica sobre ordenador.","Diciembre 2003. Sala Varese CNSM de Lyon, Francia.",,"Obra revisada durante el año 2004, modificando parcialmente su estructura original.",RR03_02 CD23
,El Eco de las Sombras,2003-04,15',Mixta. Piano MIDI y electrónica en tiempo real.,"Diciembre 2004. Sala Varese CNSM de Lyon, Francia.",,,
"Sacaan, Jorge (1974)",Emersion,2004,6'03,Electrónica sobre soporte.,,,,JS04_01 CD23
"Sanguesa, Iris (1933)",Integración,1968,,Multimedia. Bailarina y proyección de lineas y colores. Electrónica sobre soporte.,"1968. Claem. Buenos Aires, Argentina.",,,
,Llaman las llamas,1994,,"Mixta. Voz, narrador, piano, contrabajo, percusión y sintetizador.",,,,
,Permanencia I,1997/98,,Electrónica sobre soporte.,,,,
,Permanencia II,1999/00,,Electrónica sobre soporte.,,,,
,Oda a la humanidad,2002,,"Mixta. 6 voces, coro mixto, orquesta de cámara y electrónica sobre soporte.",,,,
"Schumacher, Federico (1963)",La Música del Cuerpo,1998,13'10,"2 teclados MIDI, transformaciones en tiempo real y electrónica sobre soporte en 4 pistas.","Diciembre 1998. Sala del Centro Cultural del Banco del Estado de Chile. Santiago, Chile.",,Compuesta con el financiamiento de FONDART 1998.,FSR98_01 CD23
,Música para espantar dictadores,1999,16',Mixta. Ensamble de 11 instrumentos y transformaciones en tiempo real.,,,,
,Palabras del Sur,1999,5'54,Electrónica sobre Soporte.,"Junio 1999. Festival Synthése '99. Bourges, Francia.",,,FSR99_02 CD23
,Ameriasia,2000,6'16,Electrónica sobre Soporte.,,"""La Música del cuerpo"". Taller experimental cuerpos pintados CD 2003.","Encargo de la Fundación Edwards para la exposición ""Cuerpos Pintados"".",FSR001_03 CD24
,Corazón de Látex,2000,5'30,Electrónica sobre Soporte.,,,"Encargo de la Fundación Edwards para la exposición ""Cuerpos Pintados"".",
,Gato en el agua,2000,7'10,Electrónica sobre soporte (8 pistas y estereofónica).,"Junio 2001.Festival Synthése '01. Bourges, Francia.",,,FSR00_04 CD24
,Ayes y lamentos…,2000/01,15',"Mixta. Doble orquesta, sonidos electrónicos y transformaciones en tiempo real.",,,Compuesta con el financiamiento de FONDART 2000.,
,"On the radio, oh, oh, oh",2001,4'40,Electrónica sobre Soporte.,Septiembre 2001. Programa Newkommer Werkstatt. Deutshland Radio de Berlin.,,,FSR01_05 CD24
,100 Flores,2002,13'10,Electrónica sobre Soporte.,"Octubre 2002. Segundo ciclo internacional de conciertos de música electroacústica. Sala SCD, Santiago de Chile.",,,FSR02_06 CD24
,Estrellas Compactas,2003,12'58,Electrónica sobre Soporte.,"Noviembre 2003. Nuit Blanche acousmatique. Paris, Francia.",,,FSR03_07 CD24
,Jardin de la Noche,2004,8',"Mixta. Ensemble de 5 instrumentos, sonidos electrónicos, objetos sonoros y teléfonos portables.",Junio 2004. Forum culturel de la ciudad de Blanc-Mesnil. Francia.,,Pieza pedagógica. Encargo del conservatorio de Blanc-Mesnil.,
,MingaSola I,2004,10',Electrónica sobre soporte en 8 pistas.,"Septiembre 2004. Festival MusicaViva, Lisboa, Portugal",,Compuesta con el financiamiento de FONDART 2003.,FSR04_08 CD24
"Schidlowsky, Leon (1931)",Nacimiento,1956,2'10,Electrónica sobre soporte.,"1957, Sala el Golf. Santiago, Chile.",,Música incidental parala obra de teatro de mimos del mismo nombre. Primera obra electroacústica chilena.,LS56_01 CD24
,Three Structures and one scene,1975,,"Mixta. Coro, percusión y electrónica sobre soporte.",,,,
,Citizen 1230316,1976,,Electrónica sobre soporte.,,,,
Carlos Silva (1965),Entorno II,1998,4'29,Mixta. Saxo soprano y electrónica sobre soporte.,,"""Saxofon en Concierto- compositores chilenos"" (1988-1998) CD 1998.","Miguel Villafruela, saxo",
"Troncoso, Matias (1981)",Will,2001,10',Electrónica sobre soporte.,,,,
,Vehasam,2002,6',Electrónica sobre soporte.,,,,
,Letanía,2003,12',Electrónica sobre soporte.,,,,
,Mitra,2003,6',Electrónica sobre soporte.,,,,
,Muela cuerpo ropa camina,2003,42',Electrónica sobre soporte.,"Diciembre 2003, Sala Santa Elena, Santiago de Chile.",,Obra para danza. Encargo de la compañía de danza Marcela Escobar y cia.,
,Corpus,2004,13',Electrónica sobre soporte.,"Octubre 2004. Festival Ai-Maako. Santiago, Chile.",,,MT04_01 CD24
,Corpus V2,2004,15'45 (variable),Mixta. Flauta y electrónica en tiempo real.,"Noviembre 2004. Festival de Música Contemporánea de la Universidad Catolica de Chile. Santiago, Chile.","""Música de Cámara Electroacústica"". Fondart CD 2004.",,MT04_02 CD25
,En,2004,6',Electrónica sobre soporte.,"Diciembre 2004. Festival Punto de encuentro. Madrid, España.",,,MT04_0 CD25
,Kn-tha,2004/05,,Electrónica sobre soporte.,,,,
,Nimio,2005,6',Electrónica sobre soporte.,,,,
"Vera, Santiago (1950)",Cirrus,1978,7'31,Electrónica sobre soporte.,,"""Electromúsica de arte"". SVR Producciones SVR/CD-GEMA 2007-1. CD 1995.",,SVR78 CD25
"Vergara, Juan Carlos (1969)",Golpe de Luz,1995,5'03,Electrónica sobre soporte.,,"""Electromúsica de Arte"". SVR/CD-GEMA 2007-1. CD 1995.",,JCV95_01 CD25
,Almo,1996,,Electrónica sobre soporte.,"Diciembre 1998 Sala del Centro Cultural del Banco del Estado. Santiago, Chile.",,,
,TD Reciclados,,6'30,Electrónica sobre soporte.,,"""Música Electroacústica en el GEMA 2000"". SVR-GEMA-3006-13. CD 2000.",,JCV_02 CD25
,Tiempo real,,,Electrónica sobre soporte.,,,,
,Trance,,,Electrónica sobre soporte.,"Enero 1998. XIII Festival de Música Chilena. Sala Isidora Zegers, Santiago, Chile.",,,
